find_split outer main loop 	 taking 15.6134s
find_split outer copying 	 taking 1.99487s
find_split outer sorting 	 taking 2.77029s
find_split for node 0	 taking 15.6134s
split_data	 taking 0.00731988s
split_data	 taking 0.00665604s
find_split outer main loop 	 taking 7.95663s
find_split outer copying 	 taking 1.32879s
find_split outer sorting 	 taking 1.33361s
find_split for node 1	 taking 7.95667s
split_data	 taking 0.00529476s
split_data	 taking 0.0051865s
find_split outer main loop 	 taking 8.2192s
find_split outer copying 	 taking 1.30809s
find_split outer sorting 	 taking 1.36477s
find_split for node 2	 taking 8.21924s
split_data	 taking 0.00580863s
split_data	 taking 0.0055199s
find_split outer main loop 	 taking 2.14525s
find_split outer copying 	 taking 0.584855s
find_split outer sorting 	 taking 0.317081s
find_split for node 3	 taking 2.1453s
split_data	 taking 0.00312231s
split_data	 taking 0.00306052s
find_split outer main loop 	 taking 6.27178s
find_split outer copying 	 taking 1.16331s
find_split outer sorting 	 taking 0.994786s
find_split for node 4	 taking 6.27183s
split_data	 taking 0.00481788s
split_data	 taking 0.00465676s
find_split outer main loop 	 taking 3.72504s
find_split outer copying 	 taking 0.801967s
find_split outer sorting 	 taking 0.545374s
find_split for node 5	 taking 3.72513s
split_data	 taking 0.00548013s
split_data	 taking 0.00409238s
find_split outer main loop 	 taking 4.81951s
find_split outer copying 	 taking 0.913038s
find_split outer sorting 	 taking 0.792879s
find_split for node 6	 taking 4.81957s
split_data	 taking 0.00434867s
split_data	 taking 0.0041704s
find_split outer main loop 	 taking 1.00753s
find_split outer copying 	 taking 0.452627s
find_split outer sorting 	 taking 0.103669s
find_split for node 7	 taking 1.00757s
split_data	 taking 0.00261224s
split_data	 taking 0.00256345s
find_split outer main loop 	 taking 1.47753s
find_split outer copying 	 taking 0.505682s
find_split outer sorting 	 taking 0.190722s
find_split for node 8	 taking 1.47758s
split_data	 taking 0.00316308s
split_data	 taking 0.00304236s
find_split outer main loop 	 taking 6.06376s
find_split outer copying 	 taking 1.14085s
find_split outer sorting 	 taking 0.959997s
find_split for node 9	 taking 6.06381s
split_data	 taking 0.00560359s
split_data	 taking 0.00549748s
find_split outer main loop 	 taking 0.47798s
find_split outer copying 	 taking 0.37136s
find_split outer sorting 	 taking 0.0195434s
find_split for node 10	 taking 0.478036s
split_data	 taking 0.00237234s
split_data	 taking 0.002382s
find_split outer main loop 	 taking 3.62904s
find_split outer copying 	 taking 0.809875s
find_split outer sorting 	 taking 0.517815s
find_split for node 11	 taking 3.6291s
split_data	 taking 0.00393693s
split_data	 taking 0.00371087s
find_split outer main loop 	 taking 0.483369s
find_split outer copying 	 taking 0.375858s
find_split outer sorting 	 taking 0.0188827s
find_split for node 12	 taking 0.483416s
split_data	 taking 0.00236455s
split_data	 taking 0.00229991s
find_split outer main loop 	 taking 4.53784s
find_split outer copying 	 taking 0.881999s
find_split outer sorting 	 taking 0.73312s
find_split for node 13	 taking 4.53788s
split_data	 taking 0.00445983s
split_data	 taking 0.0042787s
find_split outer main loop 	 taking 0.682701s
find_split outer copying 	 taking 0.411767s
find_split outer sorting 	 taking 0.0531931s
find_split for node 14	 taking 0.682738s
split_data	 taking 0.00261528s
split_data	 taking 0.00258617s
find_split outer main loop 	 taking 0.370967s
find_split outer copying 	 taking 0.35574s
find_split outer sorting 	 taking 0.00172166s
find_split for node 15	 taking 0.371014s
split_data	 taking 0.00226761s
split_data	 taking 0.00226777s
find_split outer main loop 	 taking 1.0075s
find_split outer copying 	 taking 0.461723s
find_split outer sorting 	 taking 0.103267s
find_split for node 16	 taking 1.00754s
split_data	 taking 0.00268046s
split_data	 taking 0.00263695s
find_split outer main loop 	 taking 1.20749s
find_split outer copying 	 taking 0.476451s
find_split outer sorting 	 taking 0.144799s
find_split for node 17	 taking 1.20755s
split_data	 taking 0.00272556s
split_data	 taking 0.00271175s
find_split outer main loop 	 taking 0.603272s
find_split outer copying 	 taking 0.388636s
find_split outer sorting 	 taking 0.0407689s
find_split for node 18	 taking 0.603312s
split_data	 taking 0.00237999s
split_data	 taking 0.00239979s
find_split outer main loop 	 taking 2.9521s
find_split outer copying 	 taking 0.771286s
find_split outer sorting 	 taking 0.368489s
find_split for node 19	 taking 2.95214s
split_data	 taking 0.00387745s
split_data	 taking 0.00406816s
find_split outer main loop 	 taking 3.45143s
find_split outer copying 	 taking 0.766547s
find_split outer sorting 	 taking 0.538504s
find_split for node 20	 taking 3.45148s
split_data	 taking 0.00421958s
split_data	 taking 0.00384517s
find_split outer main loop 	 taking 0.407839s
find_split outer copying 	 taking 0.367045s
find_split outer sorting 	 taking 0.00707298s
find_split for node 21	 taking 0.407887s
split_data	 taking 0.00239477s
split_data	 taking 0.0022733s
find_split outer main loop 	 taking 0.433038s
find_split outer copying 	 taking 0.367413s
find_split outer sorting 	 taking 0.0123475s
find_split for node 22	 taking 0.433089s
split_data	 taking 0.00229491s
split_data	 taking 0.00227914s
find_split outer main loop 	 taking 0.474495s
find_split outer copying 	 taking 0.363473s
find_split outer sorting 	 taking 0.0175182s
find_split for node 23	 taking 0.474706s
split_data	 taking 0.00228005s
split_data	 taking 0.00227589s
find_split outer main loop 	 taking 3.50406s
find_split outer copying 	 taking 0.796502s
find_split outer sorting 	 taking 0.498721s
find_split for node 24	 taking 3.5041s
split_data	 taking 0.00429607s
split_data	 taking 0.00395816s
find_split outer main loop 	 taking 0.44004s
find_split outer copying 	 taking 0.37001s
find_split outer sorting 	 taking 0.0122434s
find_split for node 25	 taking 0.440085s
split_data	 taking 0.00234166s
split_data	 taking 0.00227181s
find_split outer main loop 	 taking 0.38807s
find_split outer copying 	 taking 0.350428s
find_split outer sorting 	 taking 0.00613315s
find_split for node 26	 taking 0.388128s
split_data	 taking 0.00228131s
split_data	 taking 0.00224843s
find_split outer main loop 	 taking 1.43885s
find_split outer copying 	 taking 0.497177s
find_split outer sorting 	 taking 0.191243s
find_split for node 27	 taking 1.43888s
split_data	 taking 0.00283375s
split_data	 taking 0.00278841s
find_split outer main loop 	 taking 3.27961s
find_split outer copying 	 taking 0.740778s
find_split outer sorting 	 taking 0.516647s
find_split for node 28	 taking 3.27965s
split_data	 taking 0.00404603s
split_data	 taking 0.00378437s
find_split outer main loop 	 taking 0.584292s
find_split outer copying 	 taking 0.391591s
find_split outer sorting 	 taking 0.0377589s
find_split for node 29	 taking 0.584332s
split_data	 taking 0.00265323s
split_data	 taking 0.00269992s
find_split outer main loop 	 taking 0.459428s
find_split outer copying 	 taking 0.386154s
find_split outer sorting 	 taking 0.0137509s
find_split for node 30	 taking 0.459469s
split_data	 taking 0.00230878s
split_data	 taking 0.00228858s
